entry_date,expiry,side,strike,entry_ts,entry_price,exit_ts,exit_price,entry_reason,exit_reason,points,pnl
2020-01-01,2020-01-02,CE,12200,2020-01-01T09:20:00+05:30,39.40,2020-01-02T15:20:00+05:30,83.75,INITIAL_ENTRY,FINAL_EXIT,-44.35,-3326.25
2020-01-01,2020-01-02,PE,12200,2020-01-01T09:20:00+05:30,29.85,2020-01-02T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,29.75,2231.25
2020-01-03,2020-01-09,CE,12300,2020-01-03T14:50:00+05:30,24.55,2020-01-03T15:20:00+05:30,30.00,ADD_2,UNWIND,-5.45,-408.75
2020-01-03,2020-01-09,CE,12250,2020-01-03T09:20:00+05:30,55.00,2020-01-07T09:45:00+05:30,14.95,INITIAL_ENTRY,UNWIND,40.05,3003.75
2020-01-03,2020-01-09,PE,12250,2020-01-03T09:20:00+05:30,69.85,2020-01-09T15:20:00+05:30,34.70,INITIAL_ENTRY,FINAL_EXIT,35.15,2636.25
2020-01-03,2020-01-09,CE,12150,2020-01-06T09:45:00+05:30,42.35,2020-01-09T15:20:00+05:30,65.35,ADD_2,FINAL_EXIT,-23.00,-1725.00
2020-01-03,2020-01-09,CE,12100,2020-01-06T11:45:00+05:30,45.00,2020-01-09T15:20:00+05:30,115.45,ADD_3,FINAL_EXIT,-70.45,-5283.75
2020-01-03,2020-01-09,CE,12050,2020-01-07T13:15:00+05:30,49.50,2020-01-09T15:20:00+05:30,165.75,ADD_3,FINAL_EXIT,-116.25,-8718.75
2020-01-10,2020-01-16,PE,12150,2020-01-10T11:50:00+05:30,28.70,2020-01-10T13:50:00+05:30,34.20,ADD_2,UNWIND,-5.50,-412.50
2020-01-10,2020-01-16,CE,12250,2020-01-10T09:20:00+05:30,75.35,2020-01-16T15:20:00+05:30,106.45,INITIAL_ENTRY,FINAL_EXIT,-31.10,-2332.50
2020-01-10,2020-01-16,PE,12250,2020-01-10T09:20:00+05:30,72.30,2020-01-16T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,72.25,5418.75
2020-01-10,2020-01-16,PE,12200,2020-01-13T09:45:00+05:30,27.70,2020-01-16T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,27.65,2073.75
2020-01-17,2020-01-23,CE,12350,2020-01-17T09:20:00+05:30,59.25,2020-01-23T15:20:00+05:30,0.05,INITIAL_ENTRY,FINAL_EXIT,59.20,4440.00
2020-01-17,2020-01-23,PE,12350,2020-01-17T09:20:00+05:30,74.50,2020-01-23T15:20:00+05:30,170.20,INITIAL_ENTRY,FINAL_EXIT,-95.70,-7177.50
2020-01-17,2020-01-23,CE,12400,2020-01-20T10:45:00+05:30,21.55,2020-01-23T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,21.50,1612.50
2020-01-17,2020-01-23,CE,12300,2020-01-20T13:15:00+05:30,37.75,2020-01-23T15:20:00+05:30,0.05,ADD_3,FINAL_EXIT,37.70,2827.50
2020-01-24,2020-01-30,PE,12100,2020-01-24T09:50:00+05:30,28.25,2020-01-24T14:20:00+05:30,16.40,ADD_2,ROLL_OUT,11.85,888.75
2020-01-24,2020-01-30,PE,12150,2020-01-24T09:20:00+05:30,63.90,2020-01-27T09:15:00+05:30,50.00,INITIAL_ENTRY,UNWIND,13.90,1042.50
2020-01-24,2020-01-30,PE,12200,2020-01-24T13:20:00+05:30,39.60,2020-01-27T09:15:00+05:30,70.00,ADD_3,UNWIND,-30.40,-2280.00
2020-01-24,2020-01-30,CE,12200,2020-01-27T14:45:00+05:30,37.25,2020-01-29T09:45:00+05:30,22.50,ADD_2,UNWIND,14.75,1106.25
2020-01-24,2020-01-30,CE,12150,2020-01-24T09:20:00+05:30,85.45,2020-01-29T10:45:00+05:30,46.90,INITIAL_ENTRY,UNWIND,38.55,2891.25
2020-01-24,2020-01-30,PE,12250,2020-01-24T14:20:00+05:30,48.60,2020-01-30T15:20:00+05:30,212.65,ROLL_IN,FINAL_EXIT,-164.05,-12303.75
2020-01-24,2020-01-30,CE,12100,2020-01-28T14:15:00+05:30,46.70,2020-01-30T15:20:00+05:30,0.10,ADD_3,FINAL_EXIT,46.60,3495.00
2020-01-31,2020-02-06,CE,12150,2020-02-01T12:15:00+05:30,59.00,2020-02-04T13:45:00+05:30,6.50,ADD_2,UNWIND,52.50,3937.50
2020-01-31,2020-02-06,CE,12050,2020-01-31T09:20:00+05:30,155.15,2020-02-04T14:45:00+05:30,17.55,INITIAL_ENTRY,UNWIND,137.60,10320.00
2020-01-31,2020-02-06,PE,12000,2020-02-05T10:15:00+05:30,42.60,2020-02-05T12:15:00+05:30,63.80,ADD_2,UNWIND,-21.20,-1590.00
2020-01-31,2020-02-06,PE,12050,2020-01-31T09:20:00+05:30,145.30,2020-02-06T15:20:00+05:30,0.10,INITIAL_ENTRY,FINAL_EXIT,145.20,10890.00
2020-01-31,2020-02-06,CE,11850,2020-02-01T13:45:00+05:30,76.55,2020-02-06T15:20:00+05:30,288.10,ADD_3,FINAL_EXIT,-211.55,-15866.25
2020-01-31,2020-02-06,PE,12000,2020-02-05T13:45:00+05:30,35.70,2020-02-06T15:20:00+05:30,0.05,ADD_2,FINAL_EXIT,35.65,2673.75
2020-02-07,2020-02-13,CE,12250,2020-02-07T09:50:00+05:30,22.10,2020-02-07T12:50:00+05:30,20.20,ADD_2,UNWIND,1.90,142.50
2020-02-07,2020-02-13,CE,12200,2020-02-07T11:50:00+05:30,27.25,2020-02-10T09:15:00+05:30,22.55,ADD_3,UNWIND,4.70,352.50
2020-02-07,2020-02-13,CE,12150,2020-02-07T09:20:00+05:30,53.65,2020-02-11T09:15:00+05:30,20.25,INITIAL_ENTRY,UNWIND,33.40,2505.00
2020-02-07,2020-02-13,CE,12100,2020-02-10T09:45:00+05:30,33.95,2020-02-11T09:15:00+05:30,45.75,ADD_2,UNWIND,-11.80,-885.00
2020-02-07,2020-02-13,PE,12100,2020-02-11T09:45:00+05:30,30.25,2020-02-11T14:45:00+05:30,40.80,ADD_2,UNWIND,-10.55,-791.25
